fid,id,left,top,right,bottom,J_Attached,J_Secondar,J_Medium d,J_Apartmen,J_Total_Ne,Long,Lat
7112,7112,692021.715645413380116,6106730.034500000067055,692310.390780008165166,6106480.034499999135733,"0","1.838164793","0","0","1.838164793",149.10998,-35.16513
7113,7113,692021.715645413380116,6106480.034499999135733,692310.390780008165166,6106230.034500000067055,"0","0","0","0","0",149.11004,-35.16738
7114,7114,692021.715645413380116,6106230.034500000067055,692310.390780008165166,6105980.034500000067055,"0","0.759884142","0","0","0.759884142",149.11010,-35.16963
7115,7115,692021.715645413380116,6105980.034500000067055,692310.390780008165166,6105730.034500000067055,"0","2.060762957","0","0","2.060762957",149.11016,-35.17188
7116,7116,692021.715645413380116,6105730.034500000067055,692310.390780008165166,6105480.034500000067055,"0.999999625","6.274416208","0","0","7.274415833",149.11022,-35.17414
7117,7117,692021.715645413380116,6105480.034500000067055,692310.390780008165166,6105230.034500000067055,"0","2.238818941","0","0","2.238818941",149.11027,-35.17639
7118,7118,692021.715645413380116,6105230.034500000067055,692310.390780008165166,6104980.034500000067055,"0","3.206852386","0","0","3.206852386",149.11033,-35.17864
7119,7119,692021.715645413380116,6104980.034500000067055,692310.390780008165166,6104730.034500000998378,"0","4.251498662","0","0","4.251498662",149.11039,-35.18090
7120,7120,692021.715645413380116,6104730.034500000998378,692310.390780008165166,6104480.034500000067055,"0","3.959820744","0","0","3.959820744",149.11045,-35.18315
7121,7121,692021.715645413380116,6104480.034500000067055,692310.390780008165166,6104230.034500000067055,"1.822816836","14.31420178","0","0","16.13701862",149.11051,-35.18540
7122,7122,692021.715645413380116,6104230.034500000067055,692310.390780008165166,6103980.034500000067055,"0","0","0","0","0",149.11057,-35.18765
7123,7123,692021.715645413380116,6103980.034500000067055,692310.390780008165166,6103730.034500000067055,"0","0","0","0","0",149.11062,-35.18991
7124,7124,692021.715645413380116,6103730.034500000067055,692310.390780008165166,6103480.034500000067055,"0","0.211210874","0","0","0.211210874",149.11068,-35.19216
7125,7125,692021.715645413380116,6103480.034500000067055,692310.390780008165166,6103230.034500000067055,"0","16.34922887","0","0","16.34922887",149.11074,-35.19441
7126,7126,692021.715645413380116,6103230.034500000067055,692310.390780008165166,6102980.034500000067055,"0","34.60671732","0","0","34.60671732",149.11080,-35.19666
7127,7127,692021.715645413380116,6102980.034500000067055,692310.390780008165166,6102730.034500000067055,"0","3.706784284","0","0","3.706784284",149.11086,-35.19892
7128,7128,692021.715645413380116,6102730.034500000067055,692310.390780008165166,6102480.034499999135733,"0","0","0","0","0",149.11092,-35.20117
7129,7129,692021.715645413380116,6102480.034499999135733,692310.390780008165166,6102230.034500000067055,"0","0","0","0","0",149.11097,-35.20342
7130,7130,692021.715645413380116,6102230.034500000067055,692310.390780008165166,6101980.034500000067055,"0","0","0","0","0",149.11103,-35.20568
7131,7131,692021.715645413380116,6101980.034500000067055,692310.390780008165166,6101730.034500000067055,"0","0","0","0","0",149.11109,-35.20793
7132,7132,692021.715645413380116,6101730.034500000067055,692310.390780008165166,6101480.034500000067055,"0","0","0","0","0",149.11115,-35.21018
7133,7133,692021.715645413380116,6101480.034500000067055,692310.390780008165166,6101230.034500000067055,"0","20.88677902","0","0","20.88677902",149.11121,-35.21243
7134,7134,692021.715645413380116,6101230.034500000067055,692310.390780008165166,6100980.034500000067055,"0","33.38360557","0","0","33.38360557",149.11127,-35.21469
7135,7135,692021.715645413380116,6100980.034500000067055,692310.390780008165166,6100730.034500000998378,"0","30.62719911","0","0","30.62719911",149.11132,-35.21694
7136,7136,692021.715645413380116,6100730.034500000998378,692310.390780008165166,6100480.034500000067055,"0.530910002","34.25616989","0","0","34.78707989",149.11138,-35.21919
7137,7137,692021.715645413380116,6100480.034500000067055,692310.390780008165166,6100230.034500000067055,"2","16.54623273","0","0","18.54623273",149.11144,-35.22144
7138,7138,692021.715645413380116,6100230.034500000067055,692310.390780008165166,6099980.034500000067055,"6.581912466","0.02022764","0","69.61348061","76.21562072",149.11150,-35.22370
7139,7139,692021.715645413380116,6099980.034500000067055,692310.390780008165166,6099730.034500000067055,"25.09584019","8.776797475","0","0","33.87263766",149.11156,-35.22595
7140,7140,692021.715645413380116,6099730.034500000067055,692310.390780008165166,6099480.034500000067055,"3","29.61407223","0","0","32.61407223",149.11162,-35.22820
7141,7141,692021.715645413380116,6099480.034500000067055,692310.390780008165166,6099230.034500000067055,"6","27.11545223","0","0","33.11545223",149.11167,-35.23046
7142,7142,692021.715645413380116,6099230.034500000067055,692310.390780008165166,6098980.034500000067055,"0.697338052","29.61109075","0","0","30.3084288",149.11173,-35.23271
7143,7143,692021.715645413380116,6098980.034500000067055,692310.390780008165166,6098730.034500000067055,"0","21.61032181","0","0","21.61032181",149.11179,-35.23496
7144,7144,692021.715645413380116,6098730.034500000067055,692310.390780008165166,6098480.034499999135733,"0","0","0","0","0",149.11185,-35.23721
7145,7145,692021.715645413380116,6098480.034499999135733,692310.390780008165166,6098230.034500000067055,"0","0","0","0","0",149.11191,-35.23947
7146,7146,692021.715645413380116,6098230.034500000067055,692310.390780008165166,6097980.034500000067055,"0","0","0","0","0",149.11197,-35.24172
7147,7147,692021.715645413380116,6097980.034500000067055,692310.390780008165166,6097730.034500000067055,"0","0","0","0","0",149.11202,-35.24397
7148,7148,692021.715645413380116,6097730.034500000067055,692310.390780008165166,6097480.034500000067055,"0","0","0","0","0",149.11208,-35.24622
7149,7149,692021.715645413380116,6097480.034500000067055,692310.390780008165166,6097230.034500000067055,"0","0","0","0","0",149.11214,-35.24848
7150,7150,692021.715645413380116,6097230.034500000067055,692310.390780008165166,6096980.034500000067055,"0.849876546","0","0","0","0.849876546",149.11220,-35.25073
7151,7151,692021.715645413380116,6096980.034500000067055,692310.390780008165166,6096730.034500000998378,"1.400408309","6.374762637","0","0","7.775170945",149.11226,-35.25298
7152,7152,692021.715645413380116,6096730.034500000998378,692310.390780008165166,6096480.034500000067055,"6.796129755","37.22043478","0","0","44.01656454",149.11232,-35.25524
7153,7153,692021.715645413380116,6096480.034500000067055,692310.390780008165166,6096230.034500000067055,"13.98941516","23.3770522","0","0","37.36646736",149.11238,-35.25749
7154,7154,692021.715645413380116,6096230.034500000067055,692310.390780008165166,6095980.034500000067055,"2.800749074","11.300623","0","0","14.10137207",149.11243,-35.25974
7155,7155,692021.715645413380116,6095980.034500000067055,692310.390780008165166,6095730.034500000067055,"3","16.03177866","0","0","19.03177866",149.11249,-35.26199
7156,7156,692021.715645413380116,6095730.034500000067055,692310.390780008165166,6095480.034500000067055,"0","4.790589214","0","0","4.790589214",149.11255,-35.26425
7157,7157,692021.715645413380116,6095480.034500000067055,692310.390780008165166,6095230.034500000067055,"0","18.75143854","0","0","18.75143854",149.11261,-35.26650
7158,7158,692021.715645413380116,6095230.034500000067055,692310.390780008165166,6094980.034500000067055,"4.025538721","2.849373589","0","0","6.87491231",149.11267,-35.26875
7159,7159,692021.715645413380116,6094980.034500000067055,692310.390780008165166,6094730.034500000067055,"0","0","0","0","0",149.11273,-35.27100
7160,7160,692021.715645413380116,6094730.034500000067055,692310.390780008165166,6094480.034499999135733,"0","0","0","0","0",149.11278,-35.27326
7161,7161,692021.715645413380116,6094480.034499999135733,692310.390780008165166,6094230.034500000067055,"0","0","0","0","0",149.11284,-35.27551
7162,7162,692021.715645413380116,6094230.034500000067055,692310.390780008165166,6093980.034500000067055,"0","0","0","0","0",149.11290,-35.27776
7163,7163,692021.715645413380116,6093980.034500000067055,692310.390780008165166,6093730.034500000067055,"0","0","0","0","0",149.11296,-35.28002
7164,7164,692021.715645413380116,6093730.034500000067055,692310.390780008165166,6093480.034500000067055,"0","0","0","0","0",149.11302,-35.28227
7165,7165,692021.715645413380116,6093480.034500000067055,692310.390780008165166,6093230.034500000067055,"0","0","0","0","0",149.11308,-35.28452
